id;idn_var_funcionario;n_var_nome;n_var_email;n_var_descricao;idn_var_empresa;idnvar_usuario
1;streamline;Locks Home;deposit generate;Applications District salmon;clear-thinking;Organized Ball
2;Operations Port blue;Electronics forecast Branch;online Architect;visionary cyan IB;Fresh navigate;actuating pink
3;Legacy;Garden Vermont;functionalities;Bacon;auxiliary leading-edge Maine;Avon Florida
4;interface markets;protocol Sleek;enterprise Refined;complexity implement Soap;real-time New;Developer
5;Market firewall;fuchsia Checking aggregate;foreground Horizontal Handmade;optical;haptic Analyst Movies;payment
6;Libyan leverage Small;enterprise;Trafficway redundant;Yen;Consultant matrix;Intranet
7;Credit e-services invoice;Towels Village 1080p;Business-focused;interactive;Grocery;sexy
8;Cliffs;bandwidth-monitored Cross-platform;orchestrate analyzing Representative;Administrator Implementation;purple Cambridgeshire lavender;Account vertical
9;Azerbaijanian;complexity invoice;magnetic;Berkshire Chair Games;Bedfordshire ADP;withdrawal synthesizing mobile
10;withdrawal real-time Wisconsin;channels Tactics Plastic;Sleek Market;Practical Chips Pound;monitor;calculate Squares
