id;idn_var_funcionario;n_var_nome;n_var_email;n_var_descricao
1;5a83583f-48f3-475b-85a3-33d50849a2d2;Locks Home;deposit generate;Applications District salmon
2;6d75c7cc-60f3-43b9-9b98-889043c2b94a;Electronics forecast Branch;online Architect;visionary cyan IB
3;319b3ae0-3882-43cd-bc08-c2323185da10;Garden Vermont;functionalities;Bacon
4;cf7500cc-d127-4e51-8898-a9f62960d755;protocol Sleek;enterprise Refined;complexity implement Soap
5;1ca34712-630b-465e-aadd-08bd019aa919;fuchsia Checking aggregate;foreground Horizontal Handmade;Yen
6;b8a612f9-16ad-4484-a2d8-27caee548c6c;enterprise;Trafficway redundant;Yen
7;bbb159e2-a199-47ab-b271-734ee1fe48a0;Towels Village 1080p;Business-focused;interactive
8;7346d75b-c0c7-43db-91c1-91876098cfeb;bandwidth-monitored Cross-platform;orchestrate analyzing Representative;Administrator Implementation
9;21e2b8b4-7787-46dc-8640-fe5b0ebea6d9;complexity invoice;magnetic;Berkshire Chair Games
10;74f3ee04-1b9c-43c4-b9ec-92467013614e;channels Tactics Plastic;Sleek Market;Practical Chips Pound
