id;idn_var_usuario;n_var_nome;idn_var_empresa;idn_var_usuario_cadastro;n_var_senha
1;Buckinghamshire transmitting;multimedia;Cheese benchmark Account;Soft Internal Leone;transmitting Ohio
2;convergence COM Steel;Bedfordshire SCSI;Triple-buffered;program Forward;Automotive Run
3;PCI Rial Towels;real-time generation;azure;to Front-line;Myanmar Corporate
4;Frozen protocol payment;up;Bike;impactful Turkmenistan Pound;generating Incredible e-commerce
5;reciprocal;open-source Refined;Avon Handcrafted Kids;salmon;Guinea
6;Orchestrator;Granite Horizontal;payment online benchmark;infomediaries input;Plastic
7;Tuna Bacon;Meadow Borders;New;transmit;Engineer
8;optical cyan;input Dynamic Fresh;parsing Mews;open-source;Cambridgeshire Latvia
9;Dinar Investment;Unbranded Lempira;firewall backing;global;Louisiana Tasty
10;Table;Plaza;SSL;hard Beauty;tan up Sleek
